Page Name,English Text
NEW - Admin Page,Student & group management
NEW - Admin Page,Manage student accounts
NEW - Admin Page,Search
NEW - Admin Page,Status
NEW - Admin Page,Group
NEW - Admin Page,Groups
NEW - Admin Page,Active
NEW - Admin Page,Actions
NEW - Admin Page,Organise students into groups
NEW - Admin Page,Unnamed
NEW - Admin Page,Manage students
NEW - Admin Page,Assign students to group
NEW - Admin Page,Manage students in
NEW - Admin Page,Drag students between panels to add/remove them from the group
NEW - Admin Page,Available students
NEW - Admin Page,Search available students
NEW - Admin Page,No available students
NEW - Admin Page,Search group students
NEW - Admin Page,No students in group
NEW - Admin Page,Add selected
NEW - Admin Page,Remove selected
NEW - Admin Page,Add more students
NEW - Admin Page,Students
NEW - Admin Page,Students in group
NEW - Admin Page,Add group
NEW - Admin Page,Rows per page
NEW - Admin Page,Edit
NEW - Admin Page,Admins
NEW - Admin Page,No one has been assigned this role
NEW - Explore / Content Library Page,New sequence
NEW - Explore / Content Library Page,My sequences
NEW - Explore / Content Library Page,Organize content into learning sequences
NEW - Explore / Content Library Page,Select a sequence
NEW - Explore / Content Library Page,No sequences yet
NEW - Explore / Content Library Page,Explore content library
NEW - Explore / Content Library Page,"Discover, customise, and add content"
NEW - Explore / Content Library Page,Search content title
NEW - Explore / Content Library Page,Popular tags
NEW - Explore / Content Library Page,View as
NEW - Explore / Content Library Page,Sort
NEW - Explore / Content Library Page,Filter
NEW - Explore / Content Library Page,Show
NEW - Explore / Content Library Page,Type
NEW - Explore / Content Library Page,Deselect all
NEW - Explore / Content Library Page,Select all
NEW - Explore / Content Library Page,item(s) selected
NEW - Explore / Content Library Page,No item in this sequence
NEW - Explore / Content Library Page,Start browsing to add content
NEW - Explore / Content Library Page,Browse content
NEW - Explore / Content Library Page,This action cannot be undone
NEW - Explore / Content Library Page,Assignment created successfully
NEW - Explore / Content Library Page,Add item or sequence
NEW - Explore / Content Library Page,Add to sequence
NEW - Explore / Content Library Page,Add to assignment
NEW - Explore / Content Library Page,Choose where to add the selected content
NEW - Explore / Content Library Page,Choose a sequence to add to
NEW - Explore / Content Library Page,Create new sequence
NEW - Explore / Content Library Page,Create new assignment
